,SiteId,SiteName,TWD67Lon,TWD67Lat
0,C0F0C0,中坑,120.8952,24.2503
1,C0W170,東引,120.4753,26.3605
2,C0Z270,蕃薯寮,121.532,23.7402
3,C0Z260,豐裡,121.4995,23.8439
4,C0Z200,萬榮,121.412,23.711
5,01AD90,覽勝橋,121.5432,24.8641
6,C0Z190,富世,121.6215,24.1492
7,C0Z180,新城,121.5964,24.0413
8,C0Z170,卓溪,121.2952,23.346
9,C0Z160,鳳林,121.4453,23.7479
10,C0Z150,吉安光華,121.587,23.9327
11,C1Z130,銅門,121.4847,23.9675
12,C1Z120,壽豐,121.4999,23.8727
13,C1Z110,三棧,121.5968,24.1174
14,C0W160,烏坵,119.4413,24.9961
15,C0W150,金寧,118.3208,24.4593
16,C0W140,金沙,118.4006,24.4899
17,81S920,金峰鄉公,120.9529,22.6004
18,81T910,東里國中,121.295,23.2651
19,81T900,卓溪國小,121.2952,23.3476
20,81T890,瑞北國小,121.368,23.5274
21,81T880,石梯坪,121.5033,23.4849
22,81T870,東興部落,121.5228,23.637
23,81T860,山興分校,121.4894,23.7296
24,81T850,溪口國小,121.4652,23.8215
25,81U910,永樂國小,121.836,24.5777
26,81U900,大溪國小,121.8788,24.9374
27,81U890,大里國小,121.9179,24.9721
28,81R660,內獅國小,120.6367,22.3068
29,81V830,那瑪夏國,120.6886,23.2422
30,81M690,沄水國小,120.5225,23.3832
31,81M680,太和村,120.7008,23.5373
32,81H980,車籠埔,120.7027,23.7954
33,81H970,永興國小,120.8556,23.7866
34,81H960,北港國小,120.9032,24.0584
35,81H950,福龜國小,120.8143,24.0133
36,81H940,人和國小,120.8886,23.7807
37,81H930,玉峰國小,120.8295,23.8074
38,81H920,德化國小,120.9272,23.8505
39,81H910,平林國小,120.7544,23.9945
40,81H900,大觀發電,120.8614,23.8563
41,81F910,達觀國小,120.9121,24.3354
42,81F900,峰谷國小,120.7163,24.037
43,81F890,坪廓分校,120.7485,24.1584
44,81F880,中坑國小,120.8718,24.2382
45,81E720,慈惠堂,120.7821,24.4493
46,81E710,開礦國小,120.8557,24.4634
47,81D660,花園派出,121.1429,24.6479
48,81D650,內灣國小,121.175,24.7072
49,81D640,錦屏國小,121.2386,24.6822
50,81D630,尖石國小,121.2183,24.7305
51,81D620,錦山派出,121.2232,24.7738
52,81C710,高坡國小,121.3434,24.7698
53,81C700,大艽芎古,121.2804,24.8268
54,81AI20,有木國小,121.4293,24.8554
55,81AI10,建安國小,121.4384,24.9275
56,81AI00,五寮國小,121.3518,24.8607
57,81AH90,信賢派出,121.5179,24.8401
58,81AH80,五城加油,121.4628,24.9417
59,81AH70,柑林國小,121.7962,25.0177
60,81AH60,長坑國小,121.3823,25.1285
61,81AH50,萬里國小,121.6812,25.1776
62,81K580,坪頂,120.6309,23.7556
63,81F0B0,松鶴,120.9776,24.1788
64,81M020,豐山,120.7367,23.5921
65,81T9K0,大興,121.3701,23.6436
66,81K570,華山,120.5999,23.5953
67,81S930,射馬干,121.0298,22.7268
68,81T9J0,鳳義坑,121.418,23.7427
69,81AI30,大粗坑,121.8307,25.0931
70,81I560,豐丘,120.8688,23.6698
71,81I550,郡坑,120.862,23.7416
72,81I540,上安,120.8685,23.7272
73,81I520,九份二山,120.8462,23.9517
74,C0AH40,平等,121.5689,25.1309
75,C0W130,花嶼,119.3147,23.4018
76,C0W110,東莒,119.9724,25.9669
77,C0F0A0,雪山圈谷,121.2282,24.3904
78,C0F9Z0,雪山東峰,121.2633,24.3906
79,C0F9Y0,桃山,121.2956,24.4345
80,C0R620,墾雷,120.8472,21.9027
81,01U880,福山植物,121.6047,24.7539
82,O1T840,花蓮,121.5978,23.9747
83,01T240,苗圃,121.2713,23.4188
84,01D190,鳥嘴山,121.2755,24.7209
85,01D100,太閣南,121.1399,24.6271
86,C0X310,七股,120.0782,23.149
87,C0AH30,五分山,121.7726,25.073
88,C0S890,關山,121.1669,23.0413
89,C0E860,觀霧2,121.0614,24.4985
90,C0I490,萬大林道,121.0833,23.93
91,C0I480,梅峰,121.1654,24.0871
92,C1I470,杉林溪,120.7783,23.6413
93,C0K560,棋山,120.5953,23.6882
94,C0X300,鹿寮,120.4692,23.3878
95,C0M830,山美,120.6601,23.3856
96,C0M820,達邦,120.7414,23.4558
97,C0M810,里佳,120.7085,23.3909
98,C0M800,茶山,120.6567,23.3008
99,C0K550,蔦松,120.2216,23.5161
100,C1K540,口湖,120.1724,23.5871
101,C1I510,線浸林道,120.8248,23.7633
102,C1I450,望鄉山,120.9362,23.596
103,C0I460,南投,120.6873,23.9115
104,C0V810,左營,120.2769,22.6767
105,C0I080,信義,120.8428,23.6914
106,C0H890,埔里,120.9443,23.9739
107,C0K250,崙背,120.3108,23.7575
108,C0M770,嘉義梅山,120.5475,23.5871
109,C0M790,新港,120.3376,23.555
110,C0M740,六腳,120.2825,23.4946
111,C0M780,鹿草,120.3002,23.4131
112,C0M750,布袋,120.1597,23.3826
113,C0K500,元長,120.3069,23.6515
114,C0K510,水林,120.2378,23.5747
115,C0K530,臺西,120.1894,23.7033
116,C0G750,竹塘,120.3743,23.8484
117,C0K480,莿桐,120.4942,23.7629
118,C0K450,大埤,120.4234,23.6478
119,C0M760,民雄,120.4203,23.5535
120,C0K520,雲林東勢,120.2447,23.6767
121,C0K490,古坑,120.5516,23.6561
122,C0G740,大城,120.3128,23.8542
123,C0K470,林內,120.6015,23.7504
124,C0M680,太保,120.3233,23.4568
125,C0K410,北港,120.2837,23.5758
126,C0M650,朴子,120.2309,23.4364
127,C0K400,斗六,120.533,23.7223
128,C0K460,斗南,120.4702,23.6805
129,C0G720,溪州,120.4909,23.8533
130,C0X240,關子嶺,120.4999,23.3329
131,C0X270,柳營,120.3655,23.259
132,C0M730,嘉義市東,120.4524,23.4594
133,C0M690,水上,120.3808,23.4215
134,C0M710,東石,120.1457,23.4607
135,C0M670,大林,120.4503,23.6024
136,C0K390,土庫,120.3874,23.6808
137,C0K420,西螺,120.4593,23.8022
138,C0X260,後壁,120.3542,23.3681
139,C0X220,學甲,120.1741,23.2321
140,C0X230,鹽水,120.2395,23.2743
141,C0M640,中埔,120.5148,23.4271
142,C0M700,竹崎,120.5474,23.5279
143,C0K440,二崙,120.4008,23.7746
144,C0M660,溪口,120.3954,23.6059
